id,firstName,lastName,season,date,sourceTeam,destTeam,marketValue,price
384664,maciej,wolski,22/23,2022-07-01,LKS Lodz,Stal Mielec,150000,30000
384664,maciej,wolski,17/18,2018-01-04,Olimpia Grudz.,LKS Lodz,50000,free transfer
384664,maciej,wolski,16/17,2017-06-30,Drweca NML,Olimpia Grudz.,50000,End of loan
384664,maciej,wolski,16/17,2017-02-01,Olimpia Grudz.,Drweca NML,50000,loan transfer
384664,maciej,wolski,16/17,2016-07-02,Lechia II,Olimpia Grudz.,0,free transfer
384664,maciej,wolski,15/16,2016-06-30,Olimpia Grudz.,Lechia II,0,End of loan
384664,maciej,wolski,15/16,2016-02-25,Lechia II,Olimpia Grudz.,0,loan transfer
384664,maciej,wolski,14/15,2014-07-01,Lechia U19,Lechia II,0,0
384664,maciej,wolski,13/14,2013-07-01,Stomil U19,Lechia U19,0,0
384664,maciej,wolski,12/13,2012-07-01,Jeziorak Ilawa U19,Stomil U19,0,0
384664,maciej,wolski,08/09,2008-07-01,Drweca NML U19,Jeziorak Ilawa U19,0,0
