id,firstName,lastName,season,date,sourceTeam,destTeam,marketValue,price
236235,mateusz,cichocki,19/20,2019-07-01,Z. Sosnowiec,Radomiak,150000,free transfer
236235,mateusz,cichocki,17/18,2017-07-01,Ruch Chorzow,Z. Sosnowiec,100000,free transfer
236235,mateusz,cichocki,15/16,2015-07-02,Legia Warszawa,Ruch Chorzow,150000,free transfer
236235,mateusz,cichocki,14/15,2015-06-30,Dolcan Zabki,Legia Warszawa,150000,End of loan
236235,mateusz,cichocki,14/15,2014-07-01,Legia Warszawa,Dolcan Zabki,150000,loan transfer
236235,mateusz,cichocki,13/14,2014-06-30,Arka Gdynia,Legia Warszawa,150000,End of loan
236235,mateusz,cichocki,13/14,2014-02-21,Legia Warszawa,Arka Gdynia,150000,loan transfer
236235,mateusz,cichocki,12/13,2013-06-30,Dolcan Zabki,Legia Warszawa,100000,End of loan
236235,mateusz,cichocki,12/13,2013-01-11,Legia Warszawa,Dolcan Zabki,50000,loan transfer
236235,mateusz,cichocki,12/13,2012-07-01,Legia II,Legia Warszawa,0,0
236235,mateusz,cichocki,10/11,2010-07-01,Legia U19,Legia II,0,0
