season,date,sourceTeam,destTeam,marketValue,price
22/23,2022-07-02,FC Inter,Cracovia,400000,free transfer
20/21,2020-08-14,Haugesund,FC Inter,400000,End of loan
19/20,2020-02-06,FC Inter,Haugesund,400000,loan transfer
19/20,2019-12-31,Viking FK,FC Inter,400000,End of loan
19/20,2019-08-01,FC Inter,Viking FK,200000,loan transfer
18/19,2019-06-30,Vendsyssel FF,FC Inter,200000,End of loan
18/19,2019-01-30,FC Inter,Vendsyssel FF,200000,loan transfer
18/19,2019-01-29,Dundee FC,FC Inter,200000,End of loan
18/19,2018-08-17,FC Inter,Dundee FC,150000,loan transfer
15/16,2016-01-01,Ekenäs IF,FC Inter,25000,free transfer
13/14,2014-01-01,FC Honka U19,Ekenäs IF,-,free transfer
11/12,2012-01-01,Ekenäs IF U19,FC Honka U19,-,free transfer
