id,firstName,lastName,season,date,sourceTeam,destTeam,marketValue,price
119549,ilkay,durmus,21/22,2021-07-01,St. Mirren,Lechia Gdansk,650000,free transfer
119549,ilkay,durmus,19/20,2019-07-30,FC Wacker,St. Mirren,300000,free transfer
119549,ilkay,durmus,18/19,2018-07-01,SV Ried,FC Wacker,350000,free transfer
119549,ilkay,durmus,17/18,2017-07-01,A. Lustenau,SV Ried,300000,free transfer
119549,ilkay,durmus,15/16,2015-07-01,FAC,A. Lustenau,150000,free transfer
119549,ilkay,durmus,14/15,2015-01-27,Without Club,FAC,150000,0
119549,ilkay,durmus,14/15,2014-07-16,Antalyaspor,Without Club,150000,0
119549,ilkay,durmus,13/14,2014-01-27,Genclerbirligi,Antalyaspor,150000,free transfer
119549,ilkay,durmus,12/13,2012-07-10,Stuttgart U19,Genclerbirligi,100000,free transfer
119549,ilkay,durmus,11/12,2011-07-01,Hoffenheim U17,Stuttgart U19,0,free transfer
