season,date,sourceTeam,destTeam,marketValue,price
22/23,2022-07-09,Fortuna Sittard,Radomiak,700000,free transfer
19/20,2020-07-31,OFI Crete FC,Fortuna Sittard,1000000,End of loan
19/20,2019-07-01,Fortuna Sittard,OFI Crete FC,1250000,loan transfer
18/19,2018-07-01,Apol. Limassol,Fortuna Sittard,750000,?
17/18,2018-06-30,Fortuna Sittard,Apol. Limassol,750000,End of loan
17/18,2017-08-02,Apol. Limassol,Fortuna Sittard,75000,loan transfer
17/18,2017-07-01,AEZ Zakakiou,Apol. Limassol,75000,free transfer
16/17,2016-08-30,Reading U21,AEZ Zakakiou,-,free transfer
15/16,2015-07-15,Sporting U19,Reading U21,-,free transfer
13/14,2013-07-01,Sporting U17,Sporting U19,-,-
11/12,2011-07-01,Sporting Sub-15,Sporting U17,-,-
09/10,2009-07-01,Sporting Yth.,Sporting Sub-15,-,-
