season,date,sourceTeam,destTeam,marketValue,price
20/21,2020-07-20,1.FC Nuremberg,Lech Poznan,1200000,free transfer
16/17,2017-01-30,Randers FC,1.FC Nuremberg,800000,330000
14/15,2014-08-03,Parma,Randers FC,700000,free transfer
13/14,2014-06-30,Crotone,Parma,600000,End of loan
13/14,2013-08-21,Parma,Crotone,600000,loan transfer
13/14,2013-08-06,1. FC Köln,Parma,600000,?
12/13,2013-06-30,FC St. Gallen,1. FC Köln,600000,End of loan
12/13,2013-02-06,1. FC Köln,FC St. Gallen,600000,loan transfer
11/12,2012-01-01,Assyriska FF,1. FC Köln,40000,280000
09/10,2010-01-01,Assyriska U19,Assyriska FF,-,-
