id,firstName,lastName,season,date,sourceTeam,destTeam,marketValue,price
242846,dawid,szymonowicz,21/22,2021-10-20,Without Club,Warta Poznan,400000,0
242846,dawid,szymonowicz,21/22,2021-08-31,Jagiellonia,Without Club,400000,0
242846,dawid,szymonowicz,20/21,2021-06-30,Cracovia,Jagiellonia,400000,End of loan
242846,dawid,szymonowicz,20/21,2020-08-20,Jagiellonia,Cracovia,300000,loan transfer
242846,dawid,szymonowicz,19/20,2020-01-14,Rakow,Jagiellonia,175000,End of loan
242846,dawid,szymonowicz,19/20,2019-07-01,Jagiellonia,Rakow,175000,loan transfer
242846,dawid,szymonowicz,18/19,2019-06-30,Termalica,Jagiellonia,175000,End of loan
242846,dawid,szymonowicz,18/19,2018-07-01,Jagiellonia,Termalica,200000,loan transfer
242846,dawid,szymonowicz,17/18,2017-12-31,Zlate Moravce,Jagiellonia,200000,End of loan
242846,dawid,szymonowicz,17/18,2017-09-06,Jagiellonia,Zlate Moravce,200000,loan transfer
242846,dawid,szymonowicz,15/16,2016-01-01,Stomil Olsztyn,Jagiellonia,150000,50000
242846,dawid,szymonowicz,12/13,2012-09-14,St. Olsztyn II,Stomil Olsztyn,0,0
242846,dawid,szymonowicz,11/12,2011-07-01,Stomil U19,St. Olsztyn II,0,0
